pokedex_number,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,base_total
46,Paras,bug,grass,35,70,55,45,55,25,285
47,Parasect,bug,grass,60,95,80,60,80,30,405
48,Venonat,bug,poison,60,55,50,40,55,45,305
49,Venomoth,bug,poison,70,65,60,90,75,90,450
50,Diglett,ground,ground,10,55,30,35,45,90,265
51,Dugtrio,ground,ground,35,100,60,50,70,110,425
52,Meowth,normal,dark,40,35,35,50,40,90,290
53,Persian,normal,dark,65,60,60,75,65,115,440
54,Psyduck,water,,50,52,48,65,50,55,320
55,Golduck,water,,80,82,78,95,80,85,500
56,Mankey,fighting,,40,80,35,35,45,70,305
57,Primeape,fighting,,65,105,60,60,70,95,455
58,Growlithe,fire,,55,70,45,70,50,60,350
59,Arcanine,fire,,90,110,80,100,80,95,555
60,Poliwag,water,,40,50,40,40,40,90,300
61,Poliwhirl,water,,65,65,65,50,50,90,385
62,Poliwrath,water,fighting,90,95,95,70,90,70,510
63,Abra,psychic,,25,20,15,105,55,90,310
64,Kadabra,psychic,,40,35,30,120,70,105,400
65,Alakazam,psychic,,55,50,65,175,105,150,600
66,Machop,fighting,,70,80,50,35,35,35,305
67,Machoke,fighting,,80,100,70,50,60,45,405
68,Machamp,fighting,,90,130,80,65,85,55,505
69,Bellsprout,grass,poison,50,75,35,70,30,40,300
70,Weepinbell,grass,poison,65,90,50,85,45,55,390
71,Victreebel,grass,poison,80,105,65,100,70,70,490
72,Tentacool,water,poison,40,40,35,50,100,70,335
73,Tentacruel,water,poison,80,70,65,80,120,100,515
74,Geodude,rock,ground,40,80,100,30,30,20,300
75,Graveler,rock,ground,55,95,115,45,45,35,390
76,Golem,rock,ground,80,120,130,55,65,45,495
77,Ponyta,fire,,50,85,55,65,65,90,410
78,Rapidash,fire,,65,100,70,80,80,105,500
79,Slowpoke,water,psychic,90,65,65,40,40,15,315
80,Slowbro,water,psychic,95,75,180,130,80,30,590
81,Magnemite,electric,steel,25,35,70,95,55,45,325
82,Magneton,electric,steel,50,60,95,120,70,70,465
83,Farfetch'd,normal,flying,52,90,55,58,62,60,377
84,Doduo,normal,flying,35,85,45,35,35,75,310
85,Dodrio,normal,flying,60,110,70,60,60,110,470
86,Seel,water,,65,45,55,45,70,45,325
87,Dewgong,water,ice,90,70,80,70,95,70,475
88,Grimer,poison,poison,80,80,50,40,50,25,325
89,Muk,poison,poison,105,105,75,65,100,50,500
90,Shellder,water,,30,65,100,45,25,40,305
91,Cloyster,water,ice,50,95,180,85,45,70,525
92,Gastly,ghost,poison,30,35,30,100,35,80,310
93,Haunter,ghost,poison,45,50,45,115,55,95,405
94,Gengar,ghost,poison,60,65,80,170,95,130,600
95,Onix,rock,ground,35,45,160,30,45,70,385
96,Drowzee,psychic,,60,48,45,43,90,42,328
97,Hypno,psychic,,85,73,70,73,115,67,483
98,Krabby,water,,30,105,90,25,25,50,325
99,Kingler,water,,55,130,115,50,50,75,475
100,Voltorb,electric,,40,30,50,55,55,100,330
101,Electrode,electric,,60,50,70,80,80,150,490
102,Exeggcute,grass,psychic,60,40,80,60,45,40,325
103,Exeggutor,grass,psychic,95,105,85,125,75,45,530
104,Cubone,ground,,50,50,95,40,50,35,320
105,Marowak,ground,fire,60,80,110,50,80,45,425
106,Hitmonlee,fighting,,50,120,53,35,110,87,455
107,Hitmonchan,fighting,,50,105,79,35,110,76,455
108,Lickitung,normal,,90,55,75,60,75,30,385
109,Koffing,poison,,40,65,95,60,45,35,340
110,Weezing,poison,,65,90,120,85,70,60,490
111,Rhyhorn,ground,rock,80,85,95,30,30,25,345
112,Rhydon,ground,rock,105,130,120,45,45,40,485
113,Chansey,normal,,250,5,5,35,105,50,450
114,Tangela,grass,,65,55,115,100,40,60,435
115,Kangaskhan,normal,,105,125,100,60,100,100,590
116,Horsea,water,,30,40,70,70,25,60,295
117,Seadra,water,,55,65,95,95,45,85,440
118,Goldeen,water,,45,67,60,35,50,63,320
119,Seaking,water,,80,92,65,65,80,68,450
120,Staryu,water,,30,45,55,70,55,85,340
121,Starmie,water,psychic,60,75,85,100,85,115,520
122,Mr. Mime,psychic,fairy,40,45,65,100,120,90,460
123,Scyther,bug,flying,70,110,80,55,80,105,500
124,Jynx,ice,psychic,65,50,35,115,95,95,455
125,Electabuzz,electric,,65,83,57,95,85,105,490
126,Magmar,fire,,65,95,57,100,85,93,495
127,Pinsir,bug,,65,155,120,65,90,105,600
128,Tauros,normal,,75,100,95,40,70,110,490
129,Magikarp,water,,20,10,55,15,20,80,200
130,Gyarados,water,flying,95,155,109,70,130,81,640
131,Lapras,water,ice,130,85,80,85,95,60,535
132,Ditto,normal,,48,48,48,48,48,48,288
133,Eevee,normal,,55,55,50,45,65,55,325
134,Vaporeon,water,,130,65,60,110,95,65,525
135,Jolteon,electric,,65,65,60,110,95,130,525
136,Flareon,fire,,65,130,60,95,110,65,525
137,Porygon,normal,,65,60,70,85,75,40,395
138,Omanyte,rock,water,35,40,100,90,55,35,355
139,Omastar,rock,water,70,60,125,115,70,55,495
140,Kabuto,rock,water,30,80,90,55,45,55,355
141,Kabutops,rock,water,60,115,105,65,70,80,495
142,Aerodactyl,rock,flying,80,135,85,70,95,150,615
143,Snorlax,normal,,160,110,65,65,110,30,540
144,Articuno,ice,flying,90,85,100,95,125,85,580
145,Zapdos,electric,flying,90,90,85,125,90,100,580
146,Moltres,fire,flying,90,100,90,125,85,90,580
147,Dratini,dragon,,41,64,45,50,50,50,300
148,Dragonair,dragon,,61,84,65,70,70,70,420
149,Dragonite,dragon,flying,91,134,95,100,100,80,600
150,Mewtwo,psychic,,106,150,70,194,120,140,780
151,Mew,psychic,,100,100,100,100,100,100,600
